,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,proba
590,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,,2.107 visualizações,Transmitido ao vivo em 26 de dez. de 2018,Ciência e tecnologia,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","2.107 visualizações







58

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



59


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/VEcsf0OKhfw/maxresdefault.jpg,1280.0,720.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Attention is All You Need"" (Vaswani et al 2017). You can find a copy ...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.29
619,Kaggle Days Meetup Milan #2 - Luca Massaron,,55 visualizações,Publicado em 25 de out. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #2 - Luca Massaron,"LogicAI













Carregando...
    







        Cancelar inscrição de LogicAI?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição641 











Carregando...
    









Carregando...
    













        Processando...","55 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/WlBRu6BE0AQ/maxresdefault.jpg,1280.0,720.0,"The second edition of Kaggle Days Meetup. We had the pleasure to have Luca Massaron as a speaker, talk about Kaggle PetFinder competition. Learn about deep l...",1280.0,720.0,kaggle,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,0.561
620,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,,1.653 visualizações,Transmitido ao vivo em 14 de ago. de 2019,Ciência e tecnologia,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.653 visualizações







78

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



79


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/WlXhpXv9kDU/hqdefault.jpg,480.0,360.0,This week we're starting a new paper: An Open Source AutoML Benchmark by Gijsbers et al from the 2019 ICML Workshop on Automated Machine Learning. Paper: htt...,1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.389
624,Modeling Deep Learning from scratch with Kaggle,,36 visualizações,Publicado em 27 de set. de 2018,Educação,Modeling Deep Learning from scratch with Kaggle,"danny iskandar













Carregando...
    







        Cancelar inscrição de danny iskandar?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,27 mil 











Carregando...
    









Carregando...
    













        Processando...","36 visualizações







1

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/WpyfESLlHvY/maxresdefault.jpg,1280.0,720.0,Using Keras we are modeling Deep Learning and training the data based on MNIST fashion from scratch. This is based on Kaggle Deep Learning Exercise,1280.0,720.0,tensorflow,/channel/UCRgTSWwZJn8AqkOmWuqD0wA,0.275
642,Malaria Detection from Human cell images(Kaggle),,331 visualizações,Publicado em 5 de ago. de 2019,Pessoas e blogs,Malaria Detection from Human cell images(Kaggle),"satchTech













Carregando...
    







        Cancelar inscrição de satchTech?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição24 











Carregando...
    









Carregando...
    













        Processando...","331 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/XyNFzK7YYw0/maxresdefault.jpg,1280.0,720.0,This video is about building a machine learning Model for a Kaggle dataset that contains images of Human Cells and you have to Detect the cells which have be...,1280.0,720.0,,/channel/UCc3SbqhWWf6FOziKdraGFrg,0.326
653,"Computational Neuroscience, HDR imaging, Deep Learning for Computer Vision | Dr Shanmuganathan Raman",,257 visualizações,Publicado em 24 de nov. de 2019,Ciência e tecnologia,"Computational Neuroscience, HDR imaging, Deep Learning for Computer Vision | Dr Shanmuganathan Raman","Mukul Khanna - Deep Neural Notebooks













Carregando...
    







        Cancelar inscrição de Mukul Khanna - Deep Neural Notebooks?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição13 











Carregando...
    









Carregando...
    













        Processando...","257 visualizações







23

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



24


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/YJ6TWmUkhEQ/maxresdefault.jpg,1280.0,720.0,"In the first episode of the Deep Neural Notebooks podcast, I talk with Shanmuganathan Raman, who is an Associate Professor of Electrical & Computer Science E...",1280.0,720.0,Data Science,/channel/UC66w1T4oMv66Jn1LR5CW2yg,0.316
672,ML Kit: Machine Learning SDK for mobile developers (Google I/O '18),,35.072 visualizações,Publicado em 9 de mai. de 2018,Ciência e tecnologia,"#io18



    ML Kit: Machine Learning SDK for mobile developers (Google I/O '18)","Firebase













Carregando...
    







        Cancelar inscrição de Firebase?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição233 mil 











Carregando...
    









Carregando...
    













        Processando...","35.072 visualizações







492

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



493


15

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



16",https://i.ytimg.com/vi/Z-dqGRSsaBs/maxresdefault.jpg,1280.0,720.0,ML Kit allows you to harness the power of ML without needing to be an expert in it. Leverage powerful but simple-to-use image recognition capabilities across...,1280.0,720.0,google I o,/channel/UCP4bf6IHJJQehibu6ai__cg,0.296
685,Kaggle Meetup: What's Cooking,,166 visualizações,Publicado em 21 de out. de 2018,Ciência e tecnologia,Kaggle Meetup: What's Cooking,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","166 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/_APGZMsYjDg/maxresdefault.jpg,1280.0,720.0,Meetup page: https://www.meetup.com/LearnDataScience/events/wdlntpyxnbxb/ Slides: https://docs.google.com/presentation/d/1EoFv6DoK4rxRDzPELbjsYQv1dltTbRcpIyX...,1280.0,720.0,meetup,/channel/UCJhW_16uxALr0X4olEW2p5A,0.477
690,Machine Learning App Examples,,41.387 visualizações,Publicado em 28 de out. de 2019,Educação,Machine Learning App Examples,"Siraj Raval














Carregando...
    







        Cancelar inscrição de Siraj Raval?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição694 mil 











Carregando...
    









Carregando...
    













        Processando...","41.387 visualizações







1.227

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1.228


2.228

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2.229",https://i.ytimg.com/vi/__ByCy0PKKI/hqdefault.jpg,480.0,360.0,"Machine Learning powers almost every internet service we use these days, but it's rare to find a full pipeline example of machine learning being deployed in ...",1280.0,720.0,security,/channel/UCWN3xxRkmTPmbKwht9FuE5A,0.395
700,"Dr. Rachael Tatman: Data Scientists at Kaggle, Computational Sociolinguistics",,9 visualizações,Publicado em 8 de out. de 2019,Ciência e tecnologia,"Dr. Rachael Tatman: Data Scientists at Kaggle, Computational Sociolinguistics","Brian Ray













Carregando...
    







        Cancelar inscrição de Brian Ray?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição12 











Carregando...
    









Carregando...
    













        Processando...","9 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/aAPEwB--_SY/maxresdefault.jpg,1280.0,720.0,"This week’s episode may be our most cerebral to date, probably thanks to hosting our first University of Washington Husky, Ph.D. graduate. Dr. Rachael Tatman...",960.0,720.0,podcast,/channel/UCA9lMQ6k19vDtfIfo-NTqYA,0.35
705,Kaggle Meetup: CANSSI NCSC Ferry Delays,,124 visualizações,Publicado em 3 de out. de 2019,Ciência e tecnologia,Kaggle Meetup: CANSSI NCSC Ferry Delays,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","124 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/aOGnEHywIBc/maxresdefault.jpg,1280.0,720.0,Presenter: Matt Tourond Kaggle page: https://www.kaggle.com/c/canssi-ncsc-ferry-delays Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyznb...,1280.0,720.0,machine learning,/channel/UCJhW_16uxALr0X4olEW2p5A,0.704
708,Meetup: Custom Machine Learning Recipes: Ingredients for Success,,222 visualizações,Publicado em 21 de nov. de 2019,Ciência e tecnologia,Meetup: Custom Machine Learning Recipes: Ingredients for Success,"H2O.ai













Carregando...
    







        Cancelar inscrição de H2O.ai?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição10,8 mil 











Carregando...
    









Carregando...
    













        Processando...","222 visualizações




Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login








Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login",https://i.ytimg.com/vi/aRKZTVnyfPM/maxresdefault.jpg,1280.0,720.0,"This meetup was recorded in Mountain View on November 12, 2019. Slides from the meetup can be viewed here: https://www.slideshare.net/0xdata/meetup-custom-ma...",1280.0,720.0,,/channel/UCk6ONJlPzjw3DohAeMSgsng,0.351
718,Kaggle Meetup: Human Protein Atlas,,226 visualizações,Publicado em 8 de fev. de 2019,Ciência e tecnologia,Kaggle Meetup: Human Protein Atlas,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","226 visualizações







5

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/bAgjqdQ0VE8/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/human-protein-atlas-image-classification Meetup page: https://www.meetup.com/LearnDataScience/events/hjhcmqyzdbkb/ Slid...,1280.0,720.0,kaggle,/channel/UCJhW_16uxALr0X4olEW2p5A,0.681
720,wataさん『サンタコンペで二度全完した話』- Kaggle meetup Tokyo #4,,1.474 visualizações,Publicado em 12 de mai. de 2018,Pessoas e blogs,wataさん『サンタコンペで二度全完した話』- Kaggle meetup Tokyo #4,"Takami Sato













Carregando...
    







        Cancelar inscrição de Takami Sato?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,84 mil 











Carregando...
    









Carregando...
    













        Processando...","1.474 visualizações







24

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



25


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/bM1Xtziy6xc/maxresdefault.jpg,1280.0,720.0,資料 https://speakerdeck.com/wata_orz/santakonpedeer-du-quan-wan-sitahua Kaggle meetup tokyo #4 https://connpass.com/event/82458/,1280.0,720.0,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,0.467
744,Data Science Specialization at IFMR-GSB,,207 visualizações,Publicado em 27 de dez. de 2018,Educação,Data Science Specialization at IFMR-GSB,"IFMR GSB KREA University













Carregando...
    







        Cancelar inscrição de IFMR GSB KREA University?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição286 











Carregando...
    









Carregando...
    













        Processando...","207 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/crUfuo9GXIc/maxresdefault.jpg,1280.0,720.0, ,1280.0,720.0,,/channel/UCAjwb2trX_m_6hobx02MV9g,0.482
750,Tuning Model Hyper-Parameters for XGBoost and Kaggle,,3.667 visualizações,Publicado em 25 de mar. de 2019,Ciência e tecnologia,Tuning Model Hyper-Parameters for XGBoost and Kaggle,"Jeff Heaton













Carregando...
    







        Cancelar inscrição de Jeff Heaton?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição22,1 mil 











Carregando...
    









Carregando...
    













        Processando...","3.667 visualizações







92

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



93


5

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6",https://i.ytimg.com/vi/dMulLZKm_pg/maxresdefault.jpg,1280.0,720.0,Properly setting the parameters for XGBoost can give increased model accuracy/performance. This is a very important technique for both Kaggle competitions an...,1280.0,720.0,data science,/channel/UCR1-GEpyOPzT2AO4D_eifdw,0.307
751,"SQL Summer Camp: Group By, Having and Count| Kaggle",,4.171 visualizações,Transmitido ao vivo em 27 de jun. de 2019,Ciência e tecnologia,"SQL Summer Camp: Group By, Having and Count| Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","4.171 visualizações







117

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



118


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/dV74IWUkI8Q/hqdefault.jpg,480.0,360.0,Today we'll learn how to write slightly more complex queries that let us ask questions about groups of records. The first 30 minutes will be lecture and and ...,1280.0,720.0,databases,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.37
783,Kaggle Reading Group: Neural Networks and Neural Language Models (Part 3: Embeddings) | Kaggle,,957 visualizações,Transmitido ao vivo em 21 de nov. de 2018,Ciência e tecnologia,Kaggle Reading Group: Neural Networks and Neural Language Models (Part 3: Embeddings) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","957 visualizações







26

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



27


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/fGe3mEVnPSs/maxresdefault.jpg,1280.0,720.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! We'll be picking back up with section 7.5.1, Embeddings. (And, if we finish early, migh...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.354
788,¿Practicando en Kaggle puedo salir al campo laboral?,,724 visualizações,Publicado em 26 de abr. de 2019,Educação,"#MachineLearningenEspañol



    ¿Practicando en Kaggle puedo salir al campo laboral?","Ligdi Gonzalez













Carregando...
    







        Cancelar inscrição de Ligdi Gonzalez?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição10,7 mil 











Carregando...
    









Carregando...
    













        Processando...","724 visualizações







67

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



68


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/f_uXARiD6Fw/maxresdefault.jpg,1280.0,720.0,La pregunta de hoy se trata que si práctico con los proyectos publicados en Kaggle puedo salir al campo laboral sin ningún problema.Kaggle es un lugar perfec...,1280.0,720.0,hoja de vida con kaggle,/channel/UCLJV54sFqPiH4MYcJKvGesg,0.276
792,How to submit your predictions on kaggle?,,312 visualizações,Publicado em 13 de jun. de 2019,Pessoas e blogs,How to submit your predictions on kaggle?,"Data Dictionary













Carregando...
    







        Cancelar inscrição de Data Dictionary?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição6 











Carregando...
    









Carregando...
    













        Processando...","312 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/foKbNwP71Tg/hqdefault.jpg,480.0,360.0,"This video provides practical go through to how to create,code,commit a kernel & submit your predictions on kaggle",640.0,360.0,#datascience #kaggle #kernel #titanic #machinelearning #beginner,/channel/UCQoNosQTIxiMTL9C-gvFdjA,0.293
